trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
165,False,"{'a': 0.5, 'e': 0.9466885370690631}",35,22,-53.08679877224454,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 1}",1
166,False,"{'a': 0.5, 'e': 0.946042343528387}",20,0,-107.93296265458996,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
167,False,"{'a': 0.5, 'e': 0.9453923658195982}",20,0,-43.031076644010575,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.9447386065426066}",20,0,-134.77004073709878,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
169,False,"{'a': 0.5, 'e': 0.9440810683124485}",20,0,-134.36376607437614,"{0: 9, 1: 6, 2: 3, 3: 0, 4: 2}",0
170,False,"{'a': 0.5, 'e': 0.9434197537592759}",25,0,-156.71178135007588,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
171,False,"{'a': 0.5, 'e': 0.9427546655283462}",20,0,-73.87685832493705,"{0: 13, 1: 4, 2: 1, 3: 1, 4: 1}",0
172,False,"{'a': 0.5, 'e': 0.9420858062800114}",25,11,-22.480386466903894,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
173,False,"{'a': 0.5, 'e': 0.9414131786897075}",20,0,-153.69214064366528,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
174,False,"{'a': 0.5, 'e': 0.9407367854479443}",25,12,1.733543151993091,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.5, 'e': 0.9400566292602934}",20,0,-182.10580891567,"{0: 8, 1: 3, 2: 5, 3: 2, 4: 2}",0
176,False,"{'a': 0.5, 'e': 0.9393727128473789}",20,0,-181.50264648460035,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 4}",0
177,False,"{'a': 0.5, 'e': 0.9386850389448655}",30,0,-120.54564500477316,"{0: 18, 1: 5, 2: 5, 3: 1, 4: 1}",0
178,False,"{'a': 0.5, 'e': 0.937993610303448}",35,0,-116.69450033225196,"{0: 23, 1: 4, 2: 5, 3: 2, 4: 1}",0
179,False,"{'a': 0.5, 'e': 0.9372984296888399}",30,0,-235.96161694019384,"{0: 15, 1: 4, 2: 7, 3: 0, 4: 4}",0
180,False,"{'a': 0.5, 'e': 0.9365994998817627}",20,8,-62.549197299727005,"{0: 7, 1: 2, 2: 0, 3: 3, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.9358968236779348}",20,9,-5.443206869752231,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
182,False,"{'a': 0.5, 'e': 0.9351904038880602}",20,0,-167.52396703967523,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 3}",0
